Date,Total_FTE
2020-02-01,278
2020-03-01,306
2020-04-01,337
2020-05-01,477
2020-06-01,600
2020-07-01,658
2020-08-01,847
2020-09-01,988
2020-10-01,1091
2020-11-01,1239
2020-12-01,1328
2021-01-01,1583
2021-02-01,1850
2021-03-01,1977
2021-04-01,2127
2021-05-01,2176
2021-06-01,2325
2021-07-01,2362
2021-08-01,2560
2021-09-01,2609
2021-10-01,2692
2021-11-01,3140
2021-12-01,3229
2022-01-01,3226
2022-02-01,3226
2022-03-01,3338
2022-04-01,3409
2022-05-01,3427
2022-06-01,3763
2022-07-01,3904
2022-08-01,3989
2022-09-01,3960
2022-10-01,4286
2022-11-01,4382
2022-12-01,4382
2023-01-01,4720
2023-02-01,4863
2023-03-01,5159
2023-04-01,5058
2023-05-01,5140
2023-06-01,5233
2023-07-01,5038
2023-08-01,5001
2023-09-01,5060
